tech_category,difficulty,question_desc,option_1,option_2,option_3,option_4,correct_answer
Android,beginner,Apa yang dimaksud dengan Activity dalam pengembangan aplikasi Android?,Komponen yang menangani tampilan pengguna,Kelas untuk menyimpan data,Fungsi untuk menjalankan proses di latar belakang,Antarmuka untuk menghubungkan database,Komponen yang menangani tampilan pengguna
Android,beginner,Apa fungsi utama dari file AndroidManifest.xml?,Menyimpan data aplikasi,Mendefinisikan struktur dan metadata aplikasi,Mengatur tata letak UI,Mengelola dependensi proyek,Mendefinisikan struktur dan metadata aplikasi
Android,beginner,"Dalam konteks Android, apa yang dimaksud dengan Intent?",Komponen untuk menyimpan data,Mekanisme untuk navigasi antar Activity,Fungsi untuk menangani error,Framework untuk membuat UI,Mekanisme untuk navigasi antar Activity
Android,beginner,Apa perbedaan utama antara LinearLayout dan RelativeLayout?,"LinearLayout hanya untuk orientasi vertikal, RelativeLayout untuk horizontal","LinearLayout mengatur elemen secara berurutan, RelativeLayout berdasarkan posisi relatif","LinearLayout untuk aplikasi sederhana, RelativeLayout untuk yang kompleks","Tidak ada perbedaan, keduanya dapat digunakan secara bergantian","LinearLayout mengatur elemen secara berurutan, RelativeLayout berdasarkan posisi relatif"
Android,beginner,Apa fungsi dari metode onCreate() dalam sebuah Activity?,Menghapus Activity,Menginisialisasi Activity dan memuat layout,Menjalankan proses di background,Mengatur animasi transisi,Menginisialisasi Activity dan memuat layout
Android,beginner,Bagaimana cara menambahkan sebuah Button ke dalam layout XML?,<Button> </Button>,<AndroidButton></AndroidButton>,"<View type=""button""></View>",<UIButton></UIButton>,<Button> </Button>
Android,beginner,Apa fungsi dari atribut android:id dalam elemen XML?,Mengatur warna elemen,Memberikan identifier unik untuk elemen,Menentukan ukuran elemen,Mengatur visibilitas elemen,Memberikan identifier unik untuk elemen
Android,beginner,Bagaimana cara mendapatkan referensi ke sebuah View di dalam kode Java/Kotlin?,getViewById(R.id.viewId),"findViewWithTag(""viewId"")",findViewById(R.id.viewId),"getViewReference(""viewId"")",findViewById(R.id.viewId)
Android,beginner,Apa fungsi dari Toast dalam pengembangan Android?,Menampilkan notifikasi singkat,Membuat animasi transisi,Menyimpan data sementara,Mengatur tata letak,Menampilkan notifikasi singkat
Android,beginner,Apa yang dimaksud dengan Explicit Intent?,Intent yang hanya bisa digunakan di dalam satu Activity,Intent yang menentukan komponen tujuan secara spesifik,Intent yang digunakan untuk mengirim data besar,Intent yang hanya bisa digunakan untuk sistem Android,Intent yang menentukan komponen tujuan secara spesifik
Android,beginner,Bagaimana cara menambahkan data ke dalam Intent?,"intent.addData(key, value)","intent.putExtra(key, value)","intent.sendData(key, value)","intent.attachData(key, value)","intent.putExtra(key, value)"
Android,beginner,Apa fungsi dari metode setContentView() dalam Activity?,Mengatur tema aplikasi,Menentukan layout yang akan ditampilkan,Mengatur orientasi layar,Menambahkan menu ke Action Bar,Menentukan layout yang akan ditampilkan
Android,beginner,Apa yang dimaksud dengan ConstraintLayout?,Layout yang hanya bisa digunakan untuk aplikasi game,Layout yang mengatur posisi dan ukuran widget secara fleksibel berdasarkan constraints,Layout yang hanya bisa digunakan di versi Android terbaru,Layout yang otomatis menyesuaikan dengan ukuran layar,Layout yang mengatur posisi dan ukuran widget secara fleksibel berdasarkan constraints
Android,beginner,Apa fungsi dari RecyclerView?,Menampilkan data dalam bentuk list yang efisien,Membuat animasi scroll,Mengatur tata letak secara otomatis,Menampilkan iklan dalam aplikasi,Menampilkan data dalam bentuk list yang efisien
Android,beginner,Apa yang dimaksud dengan ViewHolder dalam konteks RecyclerView?,Kelas untuk menyimpan data,Objek yang menyimpan referensi ke View-view dalam setiap item RecyclerView,Komponen untuk mengatur scrolling,Interface untuk menangani klik pada item,Objek yang menyimpan referensi ke View-view dalam setiap item RecyclerView
Android,beginner,Apa fungsi dari file strings.xml?,Menyimpan konfigurasi database,Mendefinisikan animasi,Menyimpan string yang digunakan dalam aplikasi,Mengatur style aplikasi,Menyimpan string yang digunakan dalam aplikasi
Android,beginner,Apa fungsi dari metode onSaveInstanceState()?,Menyimpan data permanen,Menyimpan state UI sementara saat terjadi perubahan konfigurasi,Mengirim data ke server,Membuat backup aplikasi,Menyimpan state UI sementara saat terjadi perubahan konfigurasi
Android,beginner,Apa yang dimaksud dengan 'resource' dalam konteks pengembangan Android?,File Java yang berisi logika aplikasi,"Aset eksternal seperti gambar, string, dan layout yang digunakan dalam aplikasi",Library pihak ketiga yang digunakan dalam proyek,Perangkat keras yang digunakan untuk menjalankan aplikasi,"Aset eksternal seperti gambar, string, dan layout yang digunakan dalam aplikasi"
Android,beginner,Bagaimana cara menambahkan library eksternal ke dalam proyek Android?,Menambahkannya di AndroidManifest.xml,Menambahkannya di build.gradle,Menambahkannya di MainActivity.java,Menambahkannya di res/values,Menambahkannya di build.gradle
Android,beginner,Di mana file layout XML biasanya disimpan dalam proyek Android?,res/layout,src/layout,assets/layout,lib/layout,res/layout
Android,beginner,Apa itu Gradle dalam konteks pengembangan Android?,Bahasa pemrograman,Plugin untuk debugging,Alat build automation,Pustaka UI,Alat build automation
Android,intermediate,Apa fungsi dari SharedPreferences?,Menyimpan data dalam jumlah besar,Menyimpan data key-value dalam jumlah kecil,Mengatur preferensi tampilan aplikasi,Membagi data antar aplikasi,Menyimpan data key-value dalam jumlah kecil
Android,intermediate,Bagaimana cara menambahkan menu ke Action Bar?,Menggunakan metode addMenu(),Membuat file XML menu dan meng-inflate-nya di onCreateOptionsMenu(),Menambahkan elemen <menu> di layout XML,Menggunakan AlertDialog,Membuat file XML menu dan meng-inflate-nya di onCreateOptionsMenu()
Android,intermediate,Apa yang dimaksud dengan Fragment dalam pengembangan Android?,Komponen UI yang dapat digunakan kembali dan memiliki siklus hidup sendiri,Kelas untuk menyimpan data sementara,Framework untuk membuat animasi,Komponen untuk mengelola database,Komponen UI yang dapat digunakan kembali dan memiliki siklus hidup sendiri
Android,intermediate,Bagaimana cara menambahkan Fragment ke dalam Activity?,Menggunakan metode addFragment(),Mendeklarasikan Fragment di layout XML,Menggunakan FragmentManager dan FragmentTransaction,Fragment otomatis ditambahkan ke semua Activity,Menggunakan FragmentManager dan FragmentTransaction
Android,intermediate,Apa yang dimaksud dengan ViewModel dalam arsitektur Android?,Komponen untuk mengelola data UI dan mempertahankannya selama perubahan konfigurasi,Kelas untuk membuat tampilan custom,Framework untuk membuat animasi kompleks,Komponen untuk mengatur tema aplikasi,Komponen untuk mengelola data UI dan mempertahankannya selama perubahan konfigurasi
Android,intermediate,Bagaimana cara mengimplementasikan navigasi menggunakan Navigation Component?,Menggunakan Intent untuk setiap perpindahan,Membuat graph navigasi XML dan menggunakan NavController,Menggunakan FragmentManager untuk setiap perpindahan,Menambahkan listener ke setiap tombol navigasi,Membuat graph navigasi XML dan menggunakan NavController
Android,intermediate,Apa fungsi utama dari LiveData dalam arsitektur Android?,Menyimpan data di cloud,Membuat animasi real-time,Menyediakan observable data yang aware terhadap lifecycle,Mengoptimalkan penggunaan memori,Menyediakan observable data yang aware terhadap lifecycle
Android,intermediate,Apa fungsi utama dari WorkManager dalam pengembangan Android?,Mengelola tampilan aplikasi,Menjadwalkan dan menjalankan tugas di latar belakang yang dijamin akan dieksekusi,Mengoptimalkan penggunaan baterai,Mengelola koneksi jaringan,Menjadwalkan dan menjalankan tugas di latar belakang yang dijamin akan dieksekusi
Android,intermediate,Apa yang dimaksud dengan Room dalam konteks Android?,Library untuk membuat layout yang responsif,Framework untuk mengelola state aplikasi,Abstraksi di atas SQLite untuk mempermudah operasi database,Tool untuk mengoptimalkan penggunaan memori,Abstraksi di atas SQLite untuk mempermudah operasi database
Android,intermediate,Bagaimana cara mengimplementasikan notifikasi yang dapat diinteraksi di Android?,Menggunakan Toast dengan durasi yang lama,Membuat custom Dialog,Menggunakan NotificationCompat.Builder dan menambahkan PendingIntent,Menampilkan AlertDialog secara otomatis,Menggunakan NotificationCompat.Builder dan menambahkan PendingIntent
Android,intermediate,Apa yang dimaksud dengan Coroutines dalam Kotlin untuk Android?,Framework untuk membuat animasi,Library untuk mengelola thread dan asynchronous tasks,Tool untuk mengoptimalkan compile time,Sistem untuk manajemen memori otomatis,Library untuk mengelola thread dan asynchronous tasks
Android,intermediate,Bagaimana cara mengimplementasikan deep linking dalam aplikasi Android?,Menggunakan SharedPreferences untuk menyimpan link,Menambahkan intent-filter di AndroidManifest.xml dan menangani data di Activity,Membuat custom URL scheme di build.gradle,Menggunakan Firebase Dynamic Links,Menambahkan intent-filter di AndroidManifest.xml dan menangani data di Activity
Android,intermediate,Apa keuntungan menggunakan 'data class' di Kotlin dibandingkan class biasa?,Performa yang lebih baik,"Otomatis generate fungsi seperti equals(), hashCode(), dan toString()",Dapat digunakan sebagai singleton,Mendukung multiple inheritance,"Otomatis generate fungsi seperti equals(), hashCode(), dan toString()"
Android,intermediate,Apa perbedaan utama antara `val` dan `var` dalam Kotlin?,"`val` untuk variabel lokal, `var` untuk variabel global","`val` untuk tipe data primitif, `var` untuk objek","`val` untuk variabel yang bisa diubah, `var` untuk konstanta","`val` untuk variabel yang tidak bisa diubah setelah inisialisasi, `var` untuk yang bisa","`val` untuk variabel yang tidak bisa diubah setelah inisialisasi, `var` untuk yang bisa"
Android,intermediate,Apa fungsi dari 'extension function' dalam Kotlin?,Untuk memperpanjang waktu eksekusi fungsi,Untuk menambahkan fungsi baru pada class yang sudah ada tanpa memodifikasinya,Untuk mengextend class abstract,Untuk mengoptimalkan penggunaan memori,Untuk menambahkan fungsi baru pada class yang sudah ada tanpa memodifikasinya
Android,advanced,Bagaimana cara mengimplementasikan dependency injection menggunakan Dagger di Android?,Menggunakan konstruktor untuk semua dependensi,Mendeklarasikan semua dependensi di AndroidManifest.xml,"Membuat module, component, dan menggunakan anotasi @Inject",Menggunakan Service untuk menyediakan dependensi,"Membuat module, component, dan menggunakan anotasi @Inject"
Android,advanced,Apa fungsi dari ProGuard dalam pengembangan aplikasi Android?,Meningkatkan performa runtime aplikasi,Mengoptimalkan ukuran APK dengan obfuscation dan minification,Mendeteksi bug dan crash secara otomatis,Mengenkripsi source code aplikasi,Mengoptimalkan ukuran APK dengan obfuscation dan minification
Android,advanced,Bagaimana cara mengimplementasikan custom view yang kompleks di Android?,Menggunakan WebView untuk menampilkan HTML custom,Menggabungkan beberapa view standar dalam satu layout,Meng-extend kelas View dan override metode onDraw() untuk custom rendering,Menggunakan library pihak ketiga untuk semua custom view,Meng-extend kelas View dan override metode onDraw() untuk custom rendering
Android,advanced,Apa yang dimaksud dengan Clean Architecture dalam pengembangan Android?,Menggunakan design pattern MVC,"Arsitektur yang memisahkan concerns dengan layer-layer seperti domain, data, dan presentation",Teknik untuk mengoptimalkan penggunaan memori,Framework untuk automated testing,"Arsitektur yang memisahkan concerns dengan layer-layer seperti domain, data, dan presentation"
Android,advanced,Bagaimana cara mengimplementasikan offline-first architecture di Android?,Selalu menyimpan data di server dan mengaksesnya saat online,Menggunakan cache dan sinkronisasi data dengan strategi seperti Room + Retrofit + WorkManager,Membatasi fitur aplikasi saat offline,Menggunakan Firebase Realtime Database untuk semua data,Menggunakan cache dan sinkronisasi data dengan strategi seperti Room + Retrofit + WorkManager
Android,advanced,Apa fungsi dari Dagger Hilt dalam pengembangan Android?,Framework untuk membuat UI,Library untuk mengoptimalkan gambar,Dependency injection toolkit yang built-in dengan Android framework,Tool untuk analisis performa aplikasi,Dependency injection toolkit yang built-in dengan Android framework
Android,advanced,Bagaimana cara mengimplementasikan testing komprehensif dalam aplikasi Android?,Hanya melakukan manual testing,"Menggunakan unit tests, integration tests, dan UI tests dengan tools seperti JUnit, Espresso, dan Mockito",Mengandalkan beta testers untuk menemukan bug,Hanya melakukan UI testing dengan Espresso,"Menggunakan unit tests, integration tests, dan UI tests dengan tools seperti JUnit, Espresso, dan Mockito"
