question_desc,option_text,category
Mana kegiatan yang paling relate denganmu di pagi hari?,Mencoba membuat menu sarapan,Mobile Development
Mana kegiatan yang paling relate denganmu di pagi hari?,Baca atau lihat info viral dari berbagai sumber,Artificial Intelligence
Mana kegiatan yang paling relate denganmu di pagi hari?,Membersihkan kamar,Cloud Computing
Mana kegiatan yang paling relate denganmu di pagi hari?,Coret-coret atau menulis di buku,Web Development
"Jika sedang menghadapi masalah, cara mana yang paling mirip denganmu?",Coba berbagai cara sampai menemukan solusinya,Mobile Development
"Jika sedang menghadapi masalah, cara mana yang paling mirip denganmu?",Cari tahu masalahnya dari berbagai macam sudut pandang,Artificial Intelligence
"Jika sedang menghadapi masalah, cara mana yang paling mirip denganmu?",Membuat catatan untuk menyelesaikan masalahnya,Cloud Computing
"Jika sedang menghadapi masalah, cara mana yang paling mirip denganmu?",Ngobrol dengan teman untuk mendapatkan ide baru,Web Development
"Kalau lagi bermain sosial media, mana aktivitas yang paling relate denganmu?",Mencoba fitur baru yang ada di aplikasi,Mobile Development
"Kalau lagi bermain sosial media, mana aktivitas yang paling relate denganmu?",Stalking akun-akun yang suka share fakta-fakta seru,Artificial Intelligence
"Kalau lagi bermain sosial media, mana aktivitas yang paling relate denganmu?",Membersihkan feeds timeline dan followers agar rapih,Cloud Computing
"Kalau lagi bermain sosial media, mana aktivitas yang paling relate denganmu?",Share-share postingan teman sambil comment,Web Development
"Nah, kalau lagi liburan, kegiatan mana yang paling bikin kamu excited?",Mencoba hal-hal baru yang lagi terkenal,Mobile Development
"Nah, kalau lagi liburan, kegiatan mana yang paling bikin kamu excited?",Mencari review tempat yang akan dikunjungi,Artificial Intelligence
"Nah, kalau lagi liburan, kegiatan mana yang paling bikin kamu excited?",Menyusun itinerary secara detail,Cloud Computing
"Nah, kalau lagi liburan, kegiatan mana yang paling bikin kamu excited?",Membuat konten blog atau vlog tentang petualangan liburan,Web Development
"Kalau lagi kerja bareng tim, mana peran yang paling mirip dengamu?",Jadi orang yang suka coba cara-cara baru,Mobile Development
"Kalau lagi kerja bareng tim, mana peran yang paling mirip dengamu?",Jadi orang yang bantu tim ngambil keputusan dengan analisis situasi,Artificial Intelligence
"Kalau lagi kerja bareng tim, mana peran yang paling mirip dengamu?",Jadi koordinator yang memastikan semuanya lancar,Cloud Computing
"Kalau lagi kerja bareng tim, mana peran yang paling mirip dengamu?",Jadi orang yang bikin presentasi buat menyampaikan ide-ide tim,Web Development
